id,text,label,label_text
es_0491108,"television Nevir

Nada bueno se me fue ka pantalla en menos de 8 meses y no he recibido respuesta del fabricante",0,0
es_0869872,"Dinero tirado a la basura con esta compra

Horrible, nos tuvimos que comprar otro porque ni nosotros que sabemos inglés, ni un informático, después de una hora fue capaz de instalarlo",0,0
es_0811721,"solo llega una unidad cuando te obligan a comprar dos

Te obligan a comprar dos unidades y te llega solo una y no hay forma de reclamar, una autentica estafa, no compreis!!",0,0
es_0359921,"PRODUCTO NO RECIBIDO.

No entro en descalificar al vendedor, solo puedo decir que tras dos meses de espera.... sigo sin el producto y tuve que contactar con Amazon para reclamar su reembolso. Amazon un 10 . Se hace cargo del problema, pero yo e desembolsado mi dinero y en dos meses me lo devuelven Perdida de tiempo TOTAL. Sin palabras. Y Ustedes deciden",0,0
es_0068940,"Devuelto

Llega tarde y co la talla equivocada",0,0
es_0779978,"Jamás me llegó

Jamás me llegó y el vendedor nunca contacto conmigo a pesar de intentarlo 2 veces",0,0
es_0591840,"Horroroso!!!

El paraguas es de muy mala calidad,da la sensación que se va a romper cuando lo abres. Es muy cutre.",0,0
es_0173297,"Poco funcional

Tuve que devolverla porque al ser triangular no se agarra de forma cómoda para la escritura. Bonita, calidad-precio aceptable, pero poco funcional.",0,0
es_0101300,"No me llego

Estoy esperando despues de protestar varias veces pero veo que no hay solucion y no haceis caso me dicen de un reembolso pero yo quiero el auricular",0,0
es_0487007,"Mala calidad, defectuoso

Defectuoso. En apariencia muy bien producto, pero al tercer uso del vaso mezclador más grande ha dejado de funcionar. Intentaba hacer un puré, nada que requiera una fuerza excesiva y las cuchillas dejaron de girar. Una pena porque es una herramienta, en principio, muy funcional. Al final lo “barato” sale caro. Tres meses de vida. Decepcionada.",0,0
es_0584118,"Mala descripción

Pone que son 4 piezas y la realidad es que es de 3 piezas",0,0
es_0358649,"Saltan los plomos al utilizarla

Saltan los plomos al tercer día de uso. A devolver",0,0
es_0446159,"El pegamento es pesimo

El pegamento es como de Pos-it. Después de pegar el protector y poner la funda se despega solo. No entiendo cómo se puede fabricar algo tan pesimo. Es un auténtico engaño.",0,0
es_0697312,"Mariposa se retuerce

No me gusta, es de un plastico blando que se retuerce y no funciona bien. Estoy descontento, voy a tener que comprar otra. Pongo una estrella por que no me deja quitarla.",0,0
es_0233034,"Roto

ME venía el producto y embalaje roto",0,0
es_0430701,"NADA RECOMENDABLE

Es una ESTAFA! No lo compreis. Copias los archivos y desaparecen o dice que el formato es corrupto (y eso que lo formatee y lo puse en varios formatos por si acaso). Una decepción total..",0,0
es_0606497,"Ojalá se acuerden

El producto tenía que llegar el 21 de septiembre del 2017 aproximada pero no me llego nada contacte con el vendedor y me dio a elegir si quería el reembolso o un nuevo envío y eleji un nuevo envío .. pero hasta el día de hoy ni reembolso ni envío ( que triste ) 😟",0,0
es_0362179,"Demasiado fragil

Se rompe con muchísima facilidad.",0,0
